dis_name,instagram_link,short_info,region,founded,owner,status,website,open_for_visits,capacity,types,cereals,water,longitude,latitude,url
,,,,,,,,,,,,,-2.79,55.42,https://whiskey-map.com
Oban,https://www.instagram.com/obanwhisky,,,,-,operational,www.obanwhisky.com/distillery,Yes,670000,single malt,,Loch Glenn a'Bhearraidh,-5.47227,56.41498,https://whiskey-map.com/distillery/oban/1
Bunnahabhain,https://www.instagram.com/bunnahabhain,,,,Distell,operational,bunnahabhain.com,Yes,2500000 l.,single malt,barley,Margadale river,-6.12668,55.88343,https://whiskey-map.com/distillery/bunnahabhain/2
Castan,https://www.instagram.com/ladistilleriecastan,,,,,operational,distillerie-castan.com,Yes,,"blended, single malt",,,2.03191,44.01276,https://whiskey-map.com/distillery/castan/3
Jack Daniel's,https://www.instagram.com/jackdaniels_us,,,,,operational,jackdaniels.com,Yes,144900000,bourbon,"barley, rye, corn",Cave Spring Hollow,-86.36674,35.28421,https://whiskey-map.com/distillery/jack-daniels/4
Deanston,https://www.instagram.com/deanstonmalt,,,,,operational,www.deanstonmalt.com,Yes,3000000,single malt,,,-4.07014,56.18927,https://whiskey-map.com/distillery/deanston/5
Yoichi,,,,,,operational,www.nikka.com/eng/,Yes,,"blended, single malt",,,140.78989,43.18588,https://whiskey-map.com/distillery/yoichi/6
Miyagikyo,,,,,,operational,www.nikka.com/eng/distilleries/miyagikyo/,Yes,,"single malt, bourbon",barley,,140.64943,38.31157,https://whiskey-map.com/distillery/miyagikyo/7
Macallan,https://www.instagram.com/the_macallan,,,,,operational,www.themacallan.com,Yes,98.000.000 l.,single malt,barley,,-3.21398,57.49027,https://whiskey-map.com/distillery/macallan/8
Tobermory,https://www.instagram.com/tobermorydistillery,,,,Burn Stewart Distillers Ltd,operational,tobermorydistillery.com,Yes,,single malt,,,-6.06976,56.62081,https://whiskey-map.com/distillery/tobermory/9
Kilbeggan,https://www.instagram.com/kilbegganwhiskey,,,,,operational,www.kilbegganwhiskey.com,Yes,,"irish, rye, single grain","barley, rye, corn",,-7.50287,53.36961,https://whiskey-map.com/distillery/kilbeggan/10
