dis_name,location,trail,spirit_class,address,latitude,longitude,phone,email,website,social_link,found_date,certificate,amenities
American Distilling Institute – ADI,,,,"Box 577, Hayward, California, 94541",37.673724,-122.100787,,,,,,,
Michter's Fort Nelson Distillery,Kentucky,DISCUS / Kentucky Bourbon Trail / Louisville,Bourbon / Rye / Whiskey,"801 West Main Street, Louisville, Kentucky, 40202",38.257667,-85.76324,502-389-4290,FortNelson@Michters.com,https://michters.com/fortnelson/,"['https://twitter.com/michterswhiskey', 'https://instagram.com/michterswhiskey', '']",,DSP-KY-20003,"['Cocktails', 'Event Space', 'Mocktails', 'Retail Sales', 'Samples-Tastings', 'Tours']"
28 Mile Vodka Company,,,,"454 Sheridan Rd, Highwood, Illinois, 60040",42.20508,-87.810852,,,,,,,
30A Distilling Co.,,,,"605 North County Highway 393 Building 15-B, Santa Rosa Beach, Florida, 32459",30.382597,-86.229387,,,,,,,
The B-Line – Northern Kentucky's Bourbon Tour,Kentucky,The B-Line,Tours & Experiences / Trails,"50 East Rivercenter Boulevard, Covington, Kentucky, 41011",39.090112,-84.509833,859-261-4677,hello@meetNKY.com,https://findyoursippingpoint.com/,"['', 'https://instagram.com/_the_b_line_', '']",,,"['Cocktails', 'Mocktails', 'Restaurant', 'Retail Sales', 'Samples-Tastings', 'Tours']"
Alévri Mill Distilling Co.,,,,"148 W Michigan Ave, Clinton, Michigan, 49236",42.072458,-83.972901,,,,,,,
3 Hundred Days Distilling,Colorado,Colorado Spirits Trail,Veteran Owned,"279 Beacon Lite Rd, Suite G, Monument, Colorado, 80132",39.092841,-104.868858,,,,,,,
11 Wells Distillery,,,,"704 Minnehaha Avenue East, Saint Paul, Minnesota, 55106",44.962454,-93.070628,,,,,,,
Appalachian Heritage Distillery,,,,"110 W Laurel Ave, Damascus, Virginia, 24236",36.634765,-81.789083,,,,,,,['']
1911 Established Distillery,,,,"2708 Lords Hill Road (RT. 80), Lafayette, New York, 13084",42.903241,-76.222544,,,,,,,
Altitude Spirits,,,,"2805 Wilderness Pl #200, Boulder, Colorado, 80301",40.025822,-105.248396,,,,,,,
American Whiskey Trail,Washington D.C.,American Whiskey Trail / DISCUS,Trails,"1 Scott Circle Northwest, Washington, Washington D.C., 20036",38.907192,-77.036871,202-628-3544,info@americanwhiskeytrail.com,https://americanwhiskeytrail.distilledspirits.org/,"['https://twitter.com/DistilledSpirit', 'https://www.instagram.com/distilledspiritscouncil/', '']",,,['']
Loch & Union Distilling Co.,,,,"108 Dodd Court, American Canyon, California, 94505",38.194465,-122.258345,707-552-2006,info@lochandunion.com,http://lochandunion.com/,"['https://twitter.com/lochandunion', 'https://instagram.com/lochandunion', '']",,,
Chuckanut Bay Distillery,,,,"1311 Cornwall Avenue, Bellingham, Washington, 98225",48.750365,-122.478922,360 738 7179,info@chuckanutbaydistillery.com,http://www.chuckanutbaydistillery.com/,"['https://twitter.com/chuckanutbay', 'https://www.instagram.com/chuckanutbaydistillery/', '']",,,"['Samples-Tastings', 'Tours']"
A.M. Scott Distillery,,,,"250 South Mulberry St., Troy, Ohio, 45373",40.036119,-84.203507,,,,,,,['']
Casey Jones Distillery,Kentucky,Kentucky Bourbon Trail,Bourbon / Moonshine / Rye,"2815 Witty Lane, Hopkinsville, Kentucky, 42240",36.911418,-87.55106,270-839-9987,Casey@CaseyJonesDistillery.com,http://www.caseyjonesdistillery.com/,"['https://twitter.com/caseyscut', 'https://www.instagram.com/caseyjonesdistillery/', 'https://tiktok.com/@caseyjonesdistillery']",,DSP-KY-20021,"['Cocktails', 'Dog Friendly', 'EV Charging', 'Event Space', 'Free Parking', 'Gift Certificates', 'Mocktails', 'Outdoor Seating', 'Picnic Area', 'Retail Sales', 'RV Parking', 'Samples-Tastings', 'Tours', 'Wedding Venue']"
1857 Spirits Barber's Farm Distillery,,,,"3617 NY-30, Middleburgh, New York, 12122",42.581542,-74.392049,,,,,,,['']
AFT Distillery,,,,"700 East Pierce Street, Luling, Texas, 78648",29.680507,-97.647498,,,,,,,
Arkansas Moonshine,,,,"421 Beech Street, Newport, Arkansas, 72112",35.604979,-91.278262,,,,,,,
B.H. James Distillers,,,,"220 W. Gallatin St., Adairville, Kentucky, 42202",36.667673,-86.85387,,,,,,,['']
Artisan Spirits,,,,"Livermore, California",37.681875,-121.768009,,,,,,,
Hill Country Distillers,Texas,Texas Whiskey Trail,Brandy / Liqueur / Moonshine,"723 Front St., Comfort, Texas, 78013",29.967649,-98.906405,830-995-2924,Esme@HillCountryTXdistillers.com,https://www.hillcountrytxdistillers.com/,"['https://twitter.com/HCDistillers', 'https://instagram.com/HillCountryDistillers', '']",,,"['Cocktails', 'Dog Friendly', 'Event Space', 'Free Parking', 'Mocktails', 'Outdoor Seating', 'Retail Sales', 'Samples-Tastings', 'Tours']"
Anvil Distillery,,,,"117 S Sunset St, Longmont, Colorado, 80501",40.156534,-105.122013,,,,,,,
1769 Distillery,,,,"3901, rue Bannantyne, Verdun, Quebec, H4G 1C2",45.465093,-73.575917,,,,,,,
Old Dominick Distillery,Tennessee,Tennessee Whiskey Trail,Bourbon / Gin / Tennessee Whiskey / Vodka,"305 S Front Street, Memphis, Tennessee, 38103",35.138524,-90.058032,901-260-1250,Info@OldDominick.com,https://olddominick.com/,"['https://twitter.com/OldDominick901', 'https://instagram.com/OldDominick', '']",,,"['Cocktails', 'Event Space', 'Gift Certificates', 'Mocktails', 'Outdoor Seating', 'Restaurant', 'Retail Sales', 'Samples-Tastings', 'Tours', 'Wedding Venue']"
American Distilled Spirits Alliance,,,,"7530 Little River Turnpike, Annandale, Virginia, 22003",38.832742,-77.206024,,,,,,,['']
Atelier Vie,,,,"1001 S Broad St, New Orleans, Louisiana, 70125",29.956009,-90.096014,,,,,,,
18th Street Distillery,,,,"5417 Oakley Avenue, Hammond, Indiana, 46320",41.615097,-87.517245,,,,,,,['']
American Beverage Licensees,,,,"5101 River Road, Suite 108, Bethesda, Maryland, 20816-1560",38.96407,-77.101321,,,,,,,['']
Aristotle Spirits,,,,"105 Rand Mill Rd, Garner, North Carolina, 27529",35.705925,-78.605048,,,,,,,['']
Aztec Spirits,,,,"36 Bisbee Court, Sante Fe, New Mexico, 87508",35.595913,-106.043835,,,,,,,
Adrift Distillers,,,,"409 Sid Snyder Drive, Long Beach, Washington, 98631",46.345591,-124.060608,,,,,,,['Certified B Corporation']
Crystal Rain Distillery - Kristone Vodka,,,,"28468 N Ballard Dr, unit C, Lake Forest, Illinois, 60045",42.275096,-87.900762,224-278-1313,info@kristonevodka.com,https://www.kristonevodka.com/,"['', 'https://instagram.com/kristonevodka', '']",,,
AMASS,,,,"Los Angeles, California, 90012",34.052234,-118.243685,,,,,,,['']
A. Smith Bowman Distillery,,,,"1 Bowman Dr, Fredericksburg, Virginia, 22408",38.281774,-77.450628,,,,,,,['']
45th Parallel Distillery,,,,"1570 Madison Avenue, New Richmond, Wisconsin, 54017",45.103553,-92.549813,,,,,,,
Arbutus Distillery,,,,"1890 Boxwood Rd, Nanaimo, British Columbia, 1V9S 5Y2",49.183588,-123.985288,,,,,,,['']
Alberta Distillers Limited,,,,"1521 34 Ave SE, Calgary, AB T2G 1V9, Calgary, Alberta, AB T2G 1V9",51.022964,-114.027062,,,,,,,
2 Loons Distillery,,,,"Loon Lake, Washington, 99148",48.06171,-117.633325,,,,,,,
Founding Fathers Distillery,,,,"6116 Hickory Creek Road, High Point, North Carolina, 27263",35.941038,-79.882947,336-434-0149,marta@foundingfathersdistillery.com,https://www.foundingfathersdistillery.com/,"['', 'https://www.instagram.com/foundingfathersdistillery/', '']",,,"['Event Space', 'Free Parking', 'Outdoor Seating', 'Retail Sales', 'Samples-Tastings', 'Tours', 'Wedding Venue']"
Tarpon Springs Distillery,,,,"605 N. Pinellas Ave., Tarpon Springs, Florida, 34689",28.15214,-82.756943,727-940-2045,tsd@tarponspringsdistillery.net,https://www.tarponspringsdistillery.net/,"['', 'https://www.instagram.com/tarponspringsdistillery/', '']",,,"['Cocktails', 'Event Space', 'Free Parking', 'Free Wifi', 'Gift Certificates', 'Mocktails', 'Outdoor Seating', 'Picnic Area', 'Retail Sales', 'Samples-Tastings', 'Takes Reservations', 'Tours']"
Artisan on Alamo Distillery,,,,"315 8th St, San Antonio, Texas, 78215",29.432039,-98.482338,,,,,,,['']
American Craft Spirits Association,,,,"2830 Berryland Drive, Oakton, Virginia, 22124",38.892351,-77.326699,,,,,,,['']
B & E Distillery,,,,"109 South Saint Augustine Street, Pulaski, Wisconsin, 54162",44.672216,-88.242603,,,,,,,
4Four6 Distillery,,,,"703 Main Street, Pittsburgh, Pennsylvania, 15215",40.494407,-79.935015,,,,,,,
Air Co.,,,,"187 Lafayette Street, Brooklyn, New York, 10013",40.72068,-73.998292,,,,,,,
American Fifth Spirits,,,,"112 N Larch Street, Lansing, Michigan, 48912",42.734063,-84.544292,,,,,,,['']
Ampersand Distilling,,,,"4077 Lanchaster Rd, Duncan, British Columbia, V9L 6G2",48.766102,-123.778577,,,,,,,['']
Log Still Distillery,Kentucky,Bardstown / Kentucky Bourbon Trail,Bourbon / Gin / Tennessee Whiskey,"225 Dee Head Rd, New Haven, Kentucky, 40051",37.64602,-85.53485,502-917-0200,info@logstilldistillery.com,https://www.logstilldistillery.com/,"['https://twitter.com/log_still', 'https://instagram.com/Logstilldistillery', '']",,DSP-KY-47,"['Cocktails', 'Event Space', 'Free Parking', 'Lodging', 'Mocktails', 'Outdoor Seating', 'Retail Sales', 'Samples-Tastings', 'Tours']"
1861 Distillery,,,,"314 Smith Ave, Thomasville, Georgia, 31792",30.835438,-83.975535,,,,,,,
B.R. Distilling Company,,,,"802 Royal Avenue, Memphis, Tennessee, 38107",35.18245,-90.030248,,,,,,,['']
Adirondack Distilling Company,,,,"601 Varick Street, Utica, New York, 13502",43.104161,-75.241389,,,,,,,
AeppelTreow Winery & Distillery,,,,"232 North Perkins Boulevard, Burlington, Wisconsin, 53105",42.678073,-88.276203,,,,,,,
American Shochu Company,,,,"4539 Metropolitan Court, Frederick, Maryland, 21704",39.35776,-77.413778,,,,,,,['']
Arbikie Highland Estate Distillery,,,,"Inverkeilor, Arbroath, DD11 4UZ",56.644781,-2.55888,,,,,,,
Burnt Church Distillery,,,,"120 Bluffton Road, Bluffton, South Carolina, 29910",32.247467,-80.85797,843-872-0158,info@burntchurchdistillery.com,https://burntchurchdistillery.com/?utm_source=Distillery_Trail&utm_medium=Linking_Building&utm_campaign=Profile_Page,"['https://twitter.com/burnt_church', 'https://www.instagram.com/burntchurchdistillery/', '']",,DSP-SC-20044,"['Cocktails', 'Event Space', 'Gift Certificates', 'Mocktails', 'Restaurant', 'Retail Sales', 'Samples-Tastings', 'Take-out', 'Tours']"
Appalachian Gap Distillery,,,,"88 Mainelli Road, Middlebury, Vermont, 05753",44.035441,-73.169835,,,,,,,['']
Charleston Distilling Co.,,,,"3548 Meeks Farm Road, Johns Island, South Carolina, 29455",32.730583,-80.057398,843-718-1446,info@charlestondistilling.com,http://www.charlestondistilling.com/,"['https://twitter.com/CHSDistillingCo', 'http://instagram.com/charlestondistilling', '']","December 30, 2013",DSP-SC-20007,"['Cocktails', 'Event Space', 'Gift Certificates', 'Restaurant', 'Retail Sales', 'Samples-Tastings', 'Takes Reservations', 'Tours', 'Wedding Venue']"
