dis_name,location,trail,spirit_class,address,latitude,longitude,phone,email,website,social_link,found_date,certificate,amenities,url
Cinco Vodka,,,,"198 Dolorosa, San Antonio, Texas, 78205",29.424122,-98.493628,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/cinco-vodka/
Bulleit Distilling Co.,,,,"3464 Benson Pike, Shelbyville, Kentucky, 40065",38.219094,-85.145206,,,,,,DSP-KY-20028,[''],https://www.distillerytrail.com/directory-distillery/listing/bulleit-distilling-co/
Bucket Shop Distillery,,,,"741 North Main Street, Spearfish, South Dakota, 57783",44.490817,-103.85937,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/bucket-shop-distillery/
Broken Shed Distilleries,,,,"368 Center St, Southport, Connecticut, 06890",41.135229,-73.289044,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/broken-shed-distilleries/
Cal Czech Distillery,,,,"Angels Camp, California",38.067783,-120.53853,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cal-czech-distillery/
Casa Sauza,,,,"C. Luis Navarro #70, Centro, Jalisco, 46400",20.884457,-103.84147,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/casa-sauza/
Columbus Distillery Trail,Ohio,Columbus Distillery Trail,Trails,"Columbus, Ohio, 43215",39.961176,-82.998794,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/columbus-distillery-trail/
Copper Moon Distillery,,,,"69 Parker St, Springfield, Massachusetts, 01151",42.153938,-72.489225,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/copper-moon-distillery/
Brough Brothers Distillery,Kentucky,Louisville,Black Owned,"1809 Bolling Ave, Louisville, Kentucky, 40210",38.229379,-85.790316,,,,,,DSP-KY-20062,[''],https://www.distillerytrail.com/directory-distillery/listing/brough-brothers-distillery/
Central New York Food and Beverage Trail,,,,"Route 20 Brooks Hall, Room 211, Morrisville, New York, 13408",42.899001,-75.64106,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/central-new-york-food-and-beverage-trail/
Copper Fox Distillery,,,,"9 River Lane, Sperryville, Virginia, 22740",38.658189,-78.217201,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/copper-fox-distillery/
Copper Shot Distillery,,,,"1011 Texas 150 Loop, Bastrop, Texas, 78602",30.110495,-97.31527,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/copper-shot-distillery/
California Artisanal Distillers Guild,,,,"5050 Robert J Mathews Pkwy, El Dorado Hills, California, 95762",38.622631,-121.059354,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/california-artisanal-distillers-guild/
Broadslab Distillery,,,,"4682 State Hwy 50 S, Benson, North Carolina, 27504",35.347335,-78.49085,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/broadslab-distillery/
Cedar Ridge Vineyards Winery & Distillery,,,,"1441 Marak Road Northwest, Swisher, Iowa, 52338",41.831338,-91.677512,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cedar-ridge-vineyards-winery-distillery/
Buzzard's Roost Whiskey,Kentucky,Kentucky Bourbon Trail / Louisville,Woman Owned,"624 W. Main St., Louisville, Kentucky, 40202",38.256766,-85.761077,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/buzzards-roost-whiskey/
Cathead Distillery,,,,"422 S Farish St, Jackson, Mississippi, 39201",32.295775,-90.187587,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cathead-distillery/
Buck-U Distillery (Closed),,,,"3970 Tennessee Rd, Ottawa, Kansas, 66067",38.615768,-95.268637,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/buck-u-distillery/
Brooklyn Gin,,,,"200 6th St Unit 3C, Brooklyn, New York, 11215",40.728093,-73.990594,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/brooklyn-gin/
Casa Orendain,,,,"Tabasco 208, Centro, Jalisco, 46400",20.880007,-103.847078,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/casa-orendain-distillery/
Cedar Mountain Moonshine,,,,"10754 Greenville Highway, Cedar Mountain, North Carolina, 28718",35.147988,-82.647268,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cedar-mountain-moonshine/
Cascade Hollow Distilling Co. – Home of George Dickel,,,,"1950 Cascade Hollow Road, Normandy, Tennessee, 37360",35.438285,-86.244465,,,,,,DSP-TN-2,[''],https://www.distillerytrail.com/directory-distillery/listing/george-dickel-distillery/
Broken Trail Distillery & Brewery,,,,"6902 Menaul Blvd NE, Albuquerque, New Mexico, 87110",35.108692,-106.567592,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/broken-trail-distillery-brewery/
Copper Crow Distillery,,,,"#37395, 54814 State Hwy 13, Bayfield, Wisconsin, 54814",46.856904,-90.793354,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/copper-crow-distillery/
Calwise Spirits Co.,,,,"3340 Ramada Drive, Suite B, Paso Robles, California, 93446",35.573564,-120.697105,,,,,,DSP-CA-20208,,https://www.distillerytrail.com/directory-distillery/listing/calwise-spirits-co/
Bruichladdich Distillery,,,,"Isle of Islay, Bruichladdich, Scotland, PA49 7UN",55.765688,-6.362,,,,,,,['Certified B Corporation'],https://www.distillerytrail.com/directory-distillery/listing/bruichladdich-distillery/
Cardhu Distillery,,,,"Knockando, Aberlour, Scotland, AB38 9QP",57.474911,-3.216983,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cardhu-distillery/
Colorado Spirits Trail,Colorado,Colorado Spirits Trail / Denver,Trails,"1451 Bannock Street, Denver, Colorado, 80202",39.739236,-104.990251,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/colorado-spirits-trail/
Copper Mule Distillery,,,,"2258 Highway 100, Hermann, Missouri, 65041",38.700398,-91.410733,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/copper-mule-distillery/
Chattooga Belle Farm Distillery,,,,"12351 Long Creek Highway, Long Creek, South Carolina, 29658",34.773426,-83.259048,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/chattooga-belle-farm-distillery/
Cane Land Distilling,,,,"760 St Philip St, Baton Rouge, Louisiana, 70802",30.458283,-91.14032,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cane-land-distilling/
Copper Sky Distillery,,,,"110 Emery St Suite C, Longmont, Colorado, 80501",40.161258,-105.098848,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/copper-sky-distillery/
Cook Inlet Distillery,,,,"1500 N Post Rd, Anchorage, Alaska, 99501",61.225104,-149.854826,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cook-inlet-distillery/
Burl & Sprig,,,,"500 W Western Ave Suite 300, Muskegon, Michigan, 49440",43.234138,-86.255805,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/burl-sprig/
