Latitude,Longitude,Name,Street,City,State/ZIP,Phone,Details Link,Directions Link
37.7570058,-122.3877209,Endless West ,2565 3rd St Suite 318,,"San Francisco, CA 94107",(704) 604-3671,%2fContract-DistillingCoPacking%2fEndless-West--9063,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d9063
36.5964901,-87.2776286,Old Glory Distilling,451 Alfred Thun Rd,,"Clarksville, TN 37040",(931) 919-2522,%2fDistillery%2fOld-Glory-Distilling-1131,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d1131
33.9166659,-118.4059956,R6 Distillery,909 E. El Segundo Blvd,,"El Segundo, CA 90245",(424) 277-1134,%2fDistillery%2fR6-Distillery-825,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d825
39.5255325,-119.8058148,10 Torr Distillery,"490 Mill St, Reno",,"Reno, NV 89502",(775) 499-5276,%2fDistillery%2f10-Torr-Distillery-4668,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d4668
44.2950293,-93.2670854,"10,000 Drops Craft Distillers",28 NE 4th St,,"Faribault, MN 55021",(507) 581-0383,%2fDistillery%2f10%2c000-Drops-Craft-Distillers-3363,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d3363
44.8451386,-93.283042,100 Mill Street Distillery,200 W 88th St,suite 300,"Bloomington, MN 55420",250-788-316-723,%2fDistillery%2f1000-Hills-4207,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d4207
49.4063213,-123.5256125,101 Brewhouse And Distillery,1009 Gibsons Way,,"Gibsons, BC V0N 1V8",(778) 462-2011,%2fDistillery%2f101-Brewhouse-And-Distillery-4991,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d4991
35.0940809,-85.2706102,10AC Whiskey,3076 Enclave Bay Rd,,"Chattanooga, TN 37415-5667",(630) 803-8584,%2fDistillery%2f10AC-Whiskey-10000,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d10000
39.6511451,-106.9529695,10th Mountain Whiskey & Spirit,500 Trail Gulch Rd,,"Gypsum, CO 81637",(970) 470-4215,%2fDistillery%2f10th-Mountain-Whiskey-Spirit-542,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d542
37.309281,-121.856492,10th Street Distillery,2131 S 10th St,,"San Jose, CA 95112",(408) 458-5163,%2fDistillery%2f10th-Street-Distillery-3284,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d3284
44.9624477,-93.0705669,11 Wells Spirits,704 Minnehaha Ave E,,"St Paul, MN 55106",(651) 771-1875,%2fDistillery%2f11-Wells-Spirits-423,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d423
33.1503771,-117.2299035,117Â° West Spirits,2332 La Mirada Dr. Ste 800,,"Vista, CA 92081",(760) 597-8985,%2fDistillery%2f117%25c2%25b0-West-Spirits-2446,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d2446
39.7581276,-86.1456682,12.05 Distillery,636 Virginia Avenue,,"Indianapolis, IN 46203",(317) 439-4997,%2fDistillery%2f1205-Distillery-2039,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d2039
38.6149239,-90.1975539,1220 Artisan Spirits,1220 S. 8th street,,"St. Louis, MO 63104",(314) 495-4056,%2fDistillery%2f1220-Artisan-Spirits-9294,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d9294
19.6483774,-155.9995343,12th Hawaii Distiller,745467 Kaiwi St,,"Kailua-Kona, HI 96740",(808) 731-7340,%2fDistillery%2f12th-Hawaii-Distiller-3302,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d3302
38.834087,-104.8145914,1350 Distilling,520 E. Pikes Peak Ave,,"CO Springs, CO 80902",719-358-6614,%2fDistillery%2f1350-Distilling-2390,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d2390
39.2,-85.92,15 Stars,P O Box 27,,"Columbus, IN 47202",(812) 343-1396,%2fDistillery%2f15-Stars-8734,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d8734
37.4808389,-82.84647,1620 Distilling Company,165 RT Fork Bolen Br,,"Garrett, KY ",(215) 805-7264,%2fDistillery%2f1675-Spirits-157,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d157
43.1371039,-93.3826127,173 Craft Distillery,306 1st Ave North,,"Clear Lake, IA 50428",6413571733,%2fDistillery%2f173-Craft-Distillery-8500,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d8500
43.1371039,-93.3826127,173Â° Craft Distillery,306 1st Ave N,,"Clear Lake, IA 50428",(514) 234-6776,%2fDistillery%2f1769-Distillery-Inc-424,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d424
-24.2212748,151.9089931,1770 Distillery Pty Ltd,220 Bicentenial Dr,,"Agnes Waters, QLD 4677",6107 4974 9996,%2fDistillery%2f1770-Distillery-Pty-Ltd-1218,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d1218
38.9908101,-93.5700198,1832 Distilling,106 NW 2nd St,,"Concordia, MO 64020",(361) 877-7346,%2fDistillery%2f1845-Distilling-Co-7221,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d7221
38.7336657,-120.7435039,1848 Distillery,3073 Newtown Rd,,"Placerville, CA 95667",(916) 997-4015,%2fDistillery%2f1848-Distillery-869,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d869
42.5809154,-74.392141,1857 Spirits,3609 NY-30,,"Middleburgh, NY 12122",(917) 620-7111,%2fDistillery%2f1857-Spirits-537,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d537
30.8354383,-83.9755346,1861 Distillery,314 Smith Ave,,"Thomasville, GA 31792",229-267-0900,%2fDistillery%2f1861-Distillery-4524,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d4524
37.6786801,-106.3541331,1874 Distilling,645 Grand Ave,,"Del Norte, CO 81132",(719) 588-3844,%2fDistillery%2f1874-Distilling-7832,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d7832
38.6033523,-90.4413564,1879 Distilling Co,12247 Manchester Rd.,,"Saint Louis, MO 63131",3148214532,%2fDistillery%2f1879-Distilling-Co-8727,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d8727
43.2362693,-86.2522657,18th Amendment Spirits Co.,350 W Western Ave,,"Muskegon, MI 49440",(231) 375-5064,%2fDistillery%2f18th-Amendment-Spirits-Co-166,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d166
41.6150972,-87.5172451,18th Street Distillery,5417 Oakley Ave,suite 1,"Hammond, IN 46320",(219) 937-6103,%2fDistillery%2f18th-Street-Distillery-2750,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d2750
42.9030673,-76.2225524,1911 Established Distillery,2708 Lords Hill Road (Rt. 80),,"Lafayette, NY 13084",(406) 581-5027,%2fDistillery%2f2-Fat-Guys-Spirits-3768,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d3768
40.5177275,-80.0913388,2 Jas Distilling,300 Camp Horne Road,,"Pittsburgh, PA 15202",(412) 551-4204,%2fDistillery%2f2-Jas-Distilling-4096,%2fdirectory%2fresults%2fdirections.aspx%3flistingid%3d4096
