id,social_link,founded,owner,website,open_for_visits,capacity,amenities,cerificate
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,"['', '', '']",,(775) 499-5276,http://10torr.com/,,['Nano'],[],
5,"['', '', '']",2018,Jake Hvistendahl,https://www.10000drops.com/,,['Micro'],[],
6,"['', '', '']",2014,250-788-316-723,https://www.1000hills.com/,,['Nano'],"['Tasting Room', 'Restaurant', 'Bar or Cocktail Lounge']",
7,"['', '', '']",,(778) 462-2011,http://the101.ca/,,['Nano'],[],
8,"['', '', '']",,Pat Reilly,http://www.10acwhiskey.com/,,[],[],
9,"['', '', '']",2014,Ryan Thompson,http://10thwhiskey.com/,,['Nano'],[],
10,"['', '', '']",2017,Virag Saksena,https://www.10thstreetdistillery.com/,,['Nano'],['Bar or Cocktail Lounge'],
11,"['https://twitter.com/elevenwells&ReferralType=SNTW&ProfileID=48821772', 'https://www.instagram.com/11wellsspirits/&ReferralType=SNIG&ProfileID=48821772', '']",2013,(651) 771-1875,http://www.11wells.com/,,['Nano'],[],
12,"['', 'https://www.instagram.com/117westspirits&ReferralType=SNIG&ProfileID=52606124', '']",2017,(760) 597-8985,http://117westspirits.com/,,['Nano'],['Tasting Room'],
13,"['https://twitter.com/1205Distillery&ReferralType=SNTW&ProfileID=50203569', 'https://www.instagram.com/1205distillery/&ReferralType=SNIG&ProfileID=50203569', '']",,(317) 439-4997,https://fourfingerdistillery.com/,,['Nano'],[],
14,"['', '', '']",2018,Liz Swyers,http://www.1220spirits.com/,,[],[],
15,"['', '', '']",2017,David Puckett,https://12thhawaiidistiller.com/,,['Nano'],"['Restaurant', 'Bar or Cocktail Lounge']",
16,"['https://twitter.com/1350distilling?lang=en&ReferralType=SNTW&ProfileID=52515403', 'https://www.instagram.com/1350distilling/&ReferralType=SNIG&ProfileID=52515403', '']",2019,Phillip Bragg,https://www.1350distilling.com/,Yes,['Nano'],"['Tasting Room', 'Bar or Cocktail Lounge', 'Tours']",
17,"['', '', '']",2021,Rick Johnson,http://www.15stars.com/,,['Nano'],[],
18,"['', '', '']",2019,Ian Monagle,https://www.1675spirits.com/,,['Nano'],[],
19,"['', '', '']",2020,Douglas Summerfield,http://173craftdistillery.com/,,['Nano'],['Bar or Cocktail Lounge'],
20,"['', '', '']",2014,Andrew Mikus,http://www.1769distillery.com/,,['Nano'],['Bar or Cocktail Lounge'],
21,"['', '', '']",,6107 4974 9996,http://1770distillery.com/,,['Nano'],[],
22,"['', '', '']",2018,Bob Petitt,https://www.1845distillingcompany.com/,,['Nano'],[],
23,,,,,,,,
24,"['https://twitter.com/1857spirits&ReferralType=SNTW&ProfileID=48856196', 'https://www.instagram.com/1857spirits/&ReferralType=SNIG&ProfileID=48856196', '']",2012,(917) 620-7111,http://www.1857spirits.com/,,['Nano'],[],
25,"['', '', '']",,Jill Higgins,http://www.1861distillery.com/,,['Nano'],[],
26,"['', '', '']",2018,Micah Reynolds,http://www.1874distillingltd.com/,,['Nano'],"['Lodging', 'Restaurant', 'Tasting Room', 'Bar or Cocktail Lounge']",
27,,,,,,,,
28,"['', '', '']",2017,Mark Fellwock,http://18thamendmentspirits.com/,,['Nano'],['Restaurant'],
29,,,,,,,,
30,"['', 'https://www.instagram.com/2fatguysspirits/&ReferralType=SNIG&ProfileID=55785394', '']",2020,Richard Parker,https://2fatguysspirits.com/,,['Nano'],[],
31,"['', '', '']",2019,(412) 551-4204,https://2jasdistilling.com/,,['Nano'],[],
32,"['', '', '']",2014,Greg Schwartz,http://2loonsdistillery.com/,,['Nano'],[],
